" Продажи по группам (с ассортиментом)" ;" " ;" " ;" " ;" " ;" " ;" " ;" " 
" Вино - Украина - Белое крепленое" ;" 4438" ;" вино Мускатель Ю.Б дес.бел.0.75(Мас)" ;" 2" ;" 164,60" ;" " ;" " ;" 164,60" 
" Вино - Украина - Белое крепленое" ;" 4557" ;" вино Мускатель рожеве 0.75(Мас)" ;" 1" ;" 83,00" ;" " ;" " ;" 83,00" 
" Вино - Украина - Белое п/слад" ;" 688" ;" вино Мускат Качинский 0.75" ;" 2" ;" 106,20" ;" " ;" " ;" 106,20" 
" Вино - Украина - Белое п/слад" ;" 970" ;" вино Франческа0,7" ;" 1" ;" 42,00" ;" " ;" " ;" 42,00" 
" Вино - Украина - Белое п/слад" ;" 1993" ;" Вино Кримська Рівьера 0.75 біле" ;" 2" ;" 141,00" ;" " ;" " ;" 141,00" 
" Вино - Украина - Белое п/слад" ;" 2925" ;" вино "Золота Лоза"3л. біле н/сол." ;" 9" ;" 1 458,00" ;" 10" ;" 3 000,00" ;" 4 458,00" 
" Вино - Украина - Белое п/слад" ;" 3597" ;" вино Шардоне Котнар н/сол біле 0.75" ;" 4" ;" 204,40" ;" " ;" " ;" 204,40" 
" Вино - Украина - Белое п/слад" ;" 3637" ;" вино Бахчисарай Тамянка Кр.0.7" ;" 1" ;" 46,70" ;" " ;" " ;" 46,70" 
" Вино - Украина - Белое п/слад" ;" 3703" ;" вино Коблево Мускат Південний 0.75" ;" 1" ;" 62,40" ;" " ;" " ;" 62,40" 
" Вино - Украина - Белое п/слад" ;" 3714" ;" вино Тамянка Вінія 0.75" ;" 2" ;" 84,00" ;" " ;" " ;" 84,00" 
" Вино - Украина - Белое п/слад" ;" 4101" ;" "Золота Лоза"вино ордин.біле н/сол.0.7" ;" 2" ;" 108,00" ;" 5" ;" 2 250,00" ;" 2 358,00" 
" Вино - Украина - Белое п/слад" ;" 4235" ;" вино Болград Шато де Він 0.75 біле " ;" 1" ;" 42,00" ;" " ;" " ;" 42,00" 
" Вино - Украина - Белое п/слад" ;" 4432" ;" вино Котнар Хіл муск.н/сол.біле 0.75" ;" 1" ;" 45,70" ;" " ;" " ;" 45,70" 
" Вино - Украина - Белое п/слад" ;" 4453" ;" вино Азнаурі Алаз.дол.біле н/сол.0.75" ;" 3" ;" 180,00" ;" " ;" " ;" 180,00" 
" Вино - Украина - Белое п/слад" ;" 4476" ;" вино Буссо рожеве Інкерман 0.7" ;" 1" ;" 42,20" ;" " ;" " ;" 42,20" 
" Вино - Украина - Белое п/слад" ;" 4481" ;" вино Франческа рожеве.0.7" ;" 2" ;" 84,00" ;" " ;" " ;" 84,00" 
" Вино - Украина - Белое п/слад" ;" 4556" ;" вино Мускат Дель Мар 0.75(Мас)" ;" 1" ;" 65,00" ;" " ;" " ;" 65,00" 
" Вино - Украина - Белое п/слад" ;" 4633" ;" вино Молоко кох.жінки 0.75" ;" 3" ;" 402,00" ;" " ;" " ;" 402,00" 
" Вино - Украина - Белое п/слад" ;" 4678" ;" вино Буссо Біле 0.75" ;" 2" ;" 82,00" ;" " ;" " ;" 82,00" 
" Вино - Украина - Белое п/сух" ;" 2805" ;" вино "Перлина Тилігулу"0.75" ;" 1" ;" 62,40" ;" " ;" " ;" 62,40" 
" Вино - Украина - Белое п/сух" ;" 3768" ;" Вино Котнар Розе н/сухе 0.75" ;" 1" ;" 53,00" ;" " ;" " ;" 53,00" 
" Вино - Украина - Белое п/сух" ;" 3786" ;" вино Муска Селект біле 0.75" ;" 6" ;" 252,00" ;" " ;" " ;" 252,00" 
" Вино - Украина - Красное крепленое" ;" 1254" ;" вино Мускат золот.бордо 0.7" ;" 2" ;" 144,00" ;" " ;" " ;" 144,00" 
" Вино - Украина - Красное крепленое" ;" 1326" ;" вино Кагор Коблево 0.7" ;" 1" ;" 58,00" ;" " ;" " ;" 58,00" 
" Вино - Украина - Красное крепленое" ;" 1341" ;" вино Кагор Болград 0.7" ;" 4" ;" 233,60" ;" " ;" " ;" 233,60" 
" Вино - Украина - Красное крепленое" ;" 1545" ;" вино Граль Кагор-штоф 0.7" ;" 4" ;" 232,00" ;" " ;" " ;" 232,00" 
" Вино - Украина - Красное крепленое" ;" 2048" ;" вино Наомі 0.7 червоне" ;" 1" ;" 50,50" ;" " ;" " ;" 50,50" 
" Вино - Украина - Красное крепленое" ;" 2804" ;" вино "Мускат Королев."0.75 Коблево" ;" 3" ;" 216,00" ;" " ;" " ;" 216,00" 
" Вино - Украина - Красное крепленое" ;" 3120" ;" вино Тет- а -тет 0.75 чер.дес.(Котнар)" ;" 2" ;" 116,60" ;" " ;" " ;" 116,60" 
" Вино - Украина - Красное крепленое" ;" 3427" ;" кагор Болград 0.7 (штоф/медаль)" ;" 2" ;" 116,40" ;" " ;" " ;" 116,40" 
" Вино - Украина - Красное крепленое" ;" 3490" ;" вино Кагор(Вініа)0.7" ;" 2" ;" 108,20" ;" " ;" " ;" 108,20" 
" Вино - Украина - Красное крепленое" ;" 3496" ;" вино "Мікадо"0.7(вишня)" ;" 2" ;" 104,00" ;" " ;" " ;" 104,00" 
" Вино - Украина - Красное крепленое" ;" 3518" ;" вино "Ізабелла" Коблево 0.75" ;" 1" ;" 53,80" ;" " ;" " ;" 53,80" 
" Вино - Украина - Красное крепленое" ;" 3600" ;" вино Кагор Укр.0.75" ;" 1" ;" 70,00" ;" " ;" " ;" 70,00" 
" Вино - Украина - Красное крепленое" ;" 3626" ;" вино Кагор Укр Асканія 0.75" ;" 2" ;" 122,40" ;" " ;" " ;" 122,40" 
" Вино - Украина - Красное крепленое" ;" 3879" ;" вино Мікадо чер.смор. 0.7" ;" 2" ;" 98,80" ;" " ;" " ;" 98,80" 
